x,Se crea un nuevo libro ,noteBook.UNA.Clases.Libro,08 - 01 - 2020,02:27:20,Se crea un nuevo libro de nombre Lalo; del genero GÃ³tico; de color  -65536 (en rgb) y de orden  1  
x,Se crea una nueva nota ,noteBook.Nota,08 - 01 - 2020,02:27:37,Se crea una nueva nota de nombre casa; con la fuente Bahnschrift Light; el color de la fuente en rgb es -7667712 y el color del fondo en rgb es -16776961 
x,Se modifico la nota casa,noteBook.Nota,08 - 01 - 2020,02:27:45,se modifico la nota casa; la privacidad False se modifico por Privado;se modifico en al fecha08/01/2020 2:27:45 ;
x,Se modifico la nota casa,noteBook.Nota,08 - 01 - 2020,02:28:38,se modifico la nota casa; la privacidad False se modifico por Privado;se modifico en al fecha08/01/2020 2:28:38 ;
x,Se modifico la nota casa,noteBook.Nota,08 - 01 - 2020,02:29:14,se modifico la nota casa; la privacidad False se modifico por Privado;se modifico en al fecha08/01/2020 2:29:14 ;
x,Se modifico la nota f,noteBook.Nota,07 - 01 - 2020,07:36:06,se modifico la nota casa; el nombre casa por el nombre f;se modifico en al fecha7/1/2020 19:36:06 ;
x,Se modifico la nota g,noteBook.Nota,07 - 01 - 2020,07:42:27,se modifico la nota f; el nombre f por el nombre g;se modifico en al fecha7/1/2020 19:42:27 ;
x,Se modifico la nota gh,noteBook.Nota,07 - 01 - 2020,07:42:37,se modifico la nota g; el nombre g por el nombre gh;se modifico en al fecha7/1/2020 19:42:37 ;
x,Se modifico la nota d,noteBook.Nota,07 - 01 - 2020,07:42:48,se modifico la nota gh; el nombre gh por el nombre d;se modifico en al fecha7/1/2020 19:42:48 ;
x,Se modifico la nota d,noteBook.Nota,08 - 01 - 2020,02:50:45,se modifico la nota d; la privacidad False se modifico por Privado;se modifico en al fecha08/01/2020 2:50:45 ;
x,Se crea una nueva nota ,noteBook.Nota,08 - 01 - 2020,03:20:47,Se crea una nueva nota de nombre CA; con la fuente ; el color de la fuente en rgb es -7667712 y el color del fondo en rgb es -16776961 
x,Se crea una nueva nota ,noteBook.Nota,08 - 01 - 2020,03:35:22,Se crea una nueva nota de nombre s; con la fuente ; el color de la fuente en rgb es -7667712 y el color del fondo en rgb es -16776961 
